TeacherID,Date,"A1 - The teacher explains complex concepts in a clear and understandable manner.","A2 - The teacher breaks down difficult material into manageable and logical learning steps.","A3 - The teacher uses relevant examples and real-world applications to illustrate topics effectively.","B1 - The teacher effectively uses digital tools (presentations, videos, apps, online resources) to enhance learning.","B2 - The teacher uses technology to provide timely and constructive feedback on assignments.","B3 - The digital materials and resources shared by the teacher are easily accessible and helpful for self-study.","C1 - The teacher makes lessons engaging and maintains my interest throughout the class.","C2 - The teacher creates a supportive environment where I feel comfortable asking questions and seeking help.","C3 - The teacher encourages active participation, critical thinking, and meaningful interaction with the material."
T021,27/02/2024,"Disagree","Disagree","Strongly Disagree","Strongly Disagree","Neutral","Strongly Disagree","Disagree","Disagree","Strongly Disagree"
T021,21/02/2024,"Neutral","Agree","Strongly Disagree","Neutral","Disagree","Agree","Strongly Disagree","Disagree","Agree"
T021,26/02/2024,"Strongly Disagree","Disagree","Strongly Disagree","Disagree","Disagree","Strongly Disagree","Disagree","Strongly Disagree","Disagree"
T021,24/02/2024,"Disagree","Strongly Disagree","Neutral","Disagree","Strongly Disagree","Strongly Disagree","Disagree","Strongly Disagree","Agree"
T021,17/02/2024,"Disagree","Strongly Disagree","Disagree","Disagree","Agree","Strongly Disagree","Disagree","Strongly Disagree","Disagree"
T021,21/02/2024,"Disagree","Strongly Disagree","Strongly Disagree","Agree","Neutral","Disagree","Neutral","Disagree","Disagree"
T021,23/02/2024,"Disagree","Neutral","Disagree","Disagree","Strongly Disagree","Strongly Disagree","Neutral","Neutral","Disagree"
T021,23/02/2024,"Neutral","Neutral","Agree","Neutral","Strongly Disagree","Disagree","Disagree","Strongly Disagree","Agree"
T021,16/02/2024,"Disagree","Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Disagree","Disagree","Disagree","Agree"
T021,24/02/2024,"Neutral","Strongly Agree","Disagree","Strongly Disagree","Neutral","Neutral","Strongly Disagree","Disagree","Strongly Disagree"
T021,19/02/2024,"Disagree","Strongly Disagree","Disagree","Strongly Disagree","Strongly Disagree","Neutral","Agree","Neutral","Disagree"
T021,21/02/2024,"Disagree","Disagree","Neutral","Disagree","Disagree","Strongly Disagree","Disagree","Neutral","Strongly Disagree"
T021,20/02/2024,"Neutral","Neutral","Strongly Disagree","Disagree","Disagree","Neutral","Strongly Disagree","Neutral","Disagree"
T021,16/05/2024,"Strongly Disagree","Strongly Disagree","Neutral","Strongly Disagree","Neutral","Neutral","Disagree","Disagree","Disagree"
T021,28/05/2024,"Neutral","Strongly Disagree","Strongly Disagree","Neutral","Agree","Disagree","Neutral","Strongly Disagree","Disagree"
T021,15/05/2024,"Disagree","Strongly Disagree","Strongly Disagree","Neutral","Disagree","Disagree","Strongly Disagree","Neutral","Neutral"
T021,23/05/2024,"Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Neutral","Strongly Disagree","Disagree","Strongly Disagree","Neutral"
T021,28/05/2024,"Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Disagree","Disagree","Disagree","Neutral","Strongly Disagree"
T021,24/05/2024,"Strongly Disagree","Neutral","Strongly Disagree","Agree","Neutral","Disagree","Disagree","Disagree","Disagree"
T021,23/05/2024,"Neutral","Neutral","Strongly Disagree","Strongly Disagree","Disagree","Strongly Disagree","Disagree","Strongly Disagree","Disagree"
T021,21/05/2024,"Agree","Strongly Disagree","Strongly Disagree","Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Neutral"
T021,23/05/2024,"Disagree","Strongly Disagree","Disagree","Neutral","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Disagree"
T021,18/05/2024,"Disagree","Neutral","Disagree","Neutral","Neutral","Strongly Disagree","Disagree","Neutral","Disagree"
T021,18/05/2024,"Strongly Disagree","Disagree","Neutral","Strongly Disagree","Neutral","Disagree","Disagree","Disagree","Agree"
T021,16/05/2024,"Neutral","Agree","Strongly Disagree","Strongly Disagree","Disagree","Disagree","Strongly Disagree","Strongly Disagree","Neutral"
T021,19/05/2024,"Agree","Strongly Disagree","Disagree","Strongly Disagree","Disagree","Strongly Disagree","Disagree","Neutral","Agree"
T021,17/05/2024,"Agree","Neutral","Agree","Disagree","Agree","Disagree","Disagree","Strongly Disagree","Strongly Disagree"
T021,24/05/2024,"Strongly Disagree","Strongly Disagree","Neutral","Disagree","Neutral","Strongly Disagree","Disagree","Strongly Disagree","Neutral"
T021,19/05/2024,"Strongly Disagree","Neutral","Strongly Disagree","Strongly Disagree","Neutral","Disagree","Strongly Disagree","Neutral","Neutral"
T021,22/05/2024,"Neutral","Strongly Disagree","Neutral","Neutral","Strongly Disagree","Disagree","Disagree","Strongly Disagree","Disagree"
T021,29/05/2024,"Disagree","Disagree","Disagree","Strongly Disagree","Disagree","Strongly Disagree","Disagree","Strongly Disagree","Strongly Disagree"
T021,19/05/2024,"Strongly Disagree","Strongly Disagree","Disagree","Agree","Strongly Disagree","Strongly Disagree","Neutral","Disagree","Strongly Disagree"
T021,29/05/2024,"Disagree","Disagree","Agree","Disagree","Strongly Disagree","Agree","Disagree","Disagree","Disagree"
T021,22/05/2024,"Strongly Disagree","Strongly Disagree","Neutral","Strongly Disagree","Agree","Strongly Disagree","Neutral","Strongly Disagree","Strongly Disagree"
T021,25/05/2024,"Disagree","Strongly Disagree","Disagree","Strongly Disagree","Strongly Agree","Disagree","Neutral","Disagree","Neutral"
T021,26/05/2024,"Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Agree","Disagree","Disagree"
T021,18/05/2024,"Disagree","Neutral","Strongly Disagree","Disagree","Disagree","Disagree","Disagree","Strongly Disagree","Agree"
T021,23/05/2024,"Strongly Disagree","Strongly Disagree","Disagree","Strongly Disagree","Disagree","Strongly Disagree","Strongly Disagree","Disagree","Disagree"
T021,26/05/2024,"Agree","Strongly Disagree","Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Neutral","Neutral"
T021,23/05/2024,"Strongly Disagree","Strongly Disagree","Neutral","Strongly Disagree","Strongly Disagree","Disagree","Agree","Strongly Disagree","Strongly Disagree"
T021,28/05/2024,"Strongly Disagree","Disagree","Disagree","Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Disagree","Disagree"
T021,25/05/2024,"Disagree","Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Agree","Strongly Disagree","Disagree"
T021,21/05/2024,"Strongly Disagree","Neutral","Strongly Disagree","Neutral","Neutral","Strongly Disagree","Neutral","Disagree","Strongly Disagree"
T021,22/05/2024,"Neutral","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Disagree","Disagree","Strongly Disagree","Disagree"
T021,22/05/2024,"Disagree","Neutral","Disagree","Disagree","Strongly Disagree","Disagree","Neutral","Strongly Disagree","Disagree"
T021,19/05/2024,"Strongly Disagree","Strongly Disagree","Agree","Strongly Disagree","Disagree","Disagree","Agree","Strongly Disagree","Neutral"
T021,25/05/2024,"Strongly Disagree","Agree","Neutral","Neutral","Disagree","Agree","Strongly Disagree","Neutral","Strongly Disagree"
T021,20/05/2024,"Agree","Strongly Disagree","Disagree","Disagree","Disagree","Disagree","Strongly Agree","Agree","Disagree"
T021,20/05/2024,"Strongly Disagree","Neutral","Neutral","Strongly Agree","Strongly Disagree","Disagree","Strongly Disagree","Disagree","Disagree"
T021,24/05/2024,"Neutral","Strongly Disagree","Neutral","Strongly Disagree","Neutral","Strongly Disagree","Disagree","Strongly Disagree","Neutral"
T021,17/05/2024,"Disagree","Strongly Disagree","Disagree","Neutral","Strongly Disagree","Agree","Disagree","Strongly Disagree","Strongly Disagree"
T021,23/05/2024,"Strongly Disagree","Strongly Disagree","Neutral","Disagree","Strongly Disagree","Neutral","Strongly Disagree","Neutral","Disagree"
T021,26/05/2024,"Strongly Disagree","Neutral","Strongly Disagree","Neutral","Neutral","Strongly Disagree","Agree","Disagree","Disagree"
T021,17/05/2024,"Disagree","Disagree","Neutral","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Disagree","Disagree"
T021,25/05/2024,"Neutral","Neutral","Disagree","Strongly Disagree","Agree","Strongly Disagree","Agree","Strongly Disagree","Disagree"
T021,28/05/2024,"Strongly Disagree","Neutral","Strongly Disagree","Strongly Disagree","Neutral","Disagree","Disagree","Neutral","Strongly Disagree"
T021,25/05/2024,"Neutral","Strongly Disagree","Strongly Disagree","Neutral","Strongly Disagree","Strongly Disagree","Strongly Disagree","Disagree","Strongly Disagree"
T021,25/05/2024,"Disagree","Strongly Disagree","Agree","Disagree","Agree","Disagree","Strongly Disagree","Disagree","Neutral"
T021,19/05/2024,"Disagree","Disagree","Strongly Disagree","Strongly Disagree","Disagree","Disagree","Disagree","Agree","Disagree"
T021,22/05/2024,"Disagree","Disagree","Strongly Disagree","Strongly Disagree","Disagree","Neutral","Disagree","Disagree","Neutral"
T021,20/05/2024,"Disagree","Neutral","Strongly Disagree","Disagree","Disagree","Neutral","Disagree","Neutral","Disagree"
T021,23/05/2024,"Disagree","Strongly Disagree","Agree","Disagree","Disagree","Disagree","Neutral","Strongly Disagree","Agree"
T021,23/05/2024,"Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Agree","Agree","Strongly Disagree","Neutral","Neutral"
T021,22/05/2024,"Disagree","Strongly Disagree","Disagree","Neutral","Neutral","Strongly Disagree","Disagree","Neutral","Disagree"
T021,21/05/2024,"Strongly Disagree","Neutral","Strongly Disagree","Strongly Disagree","Strongly Disagree","Disagree","Strongly Disagree","Neutral","Disagree"
T021,22/05/2024,"Strongly Disagree","Neutral","Disagree","Disagree","Strongly Disagree","Strongly Disagree","Disagree","Strongly Disagree","Strongly Disagree"
T021,23/05/2024,"Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Disagree","Disagree","Disagree","Disagree","Disagree"
T021,23/05/2024,"Agree","Disagree","Neutral","Disagree","Strongly Agree","Disagree","Disagree","Strongly Disagree","Strongly Disagree"
T021,24/05/2024,"Neutral","Strongly Disagree","Strongly Disagree","Disagree","Neutral","Agree","Disagree","Neutral","Strongly Disagree"
T021,21/05/2024,"Agree","Disagree","Disagree","Strongly Disagree","Disagree","Disagree","Strongly Disagree","Neutral","Disagree"
T021,24/05/2024,"Neutral","Strongly Disagree","Strongly Disagree","Neutral","Disagree","Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree"
T021,22/05/2024,"Strongly Disagree","Strongly Disagree","Neutral","Disagree","Disagree","Disagree","Strongly Disagree","Disagree","Disagree"
T021,20/05/2024,"Disagree","Neutral","Strongly Disagree","Disagree","Strongly Disagree","Strongly Agree","Neutral","Disagree","Disagree"
T021,20/05/2024,"Neutral","Strongly Disagree","Agree","Disagree","Neutral","Disagree","Strongly Disagree","Disagree","Disagree"
T021,27/05/2024,"Strongly Disagree","Strongly Disagree","Neutral","Strongly Disagree","Agree","Disagree","Strongly Disagree","Disagree","Strongly Disagree"
T021,24/05/2024,"Neutral","Agree","Strongly Disagree","Strongly Disagree","Disagree","Strongly Disagree","Strongly Disagree","Disagree","Strongly Disagree"
T021,28/05/2024,"Disagree","Strongly Disagree","Agree","Disagree","Agree","Neutral","Strongly Disagree","Strongly Disagree","Disagree"
T021,26/05/2024,"Neutral","Neutral","Neutral","Strongly Disagree","Strongly Disagree","Neutral","Strongly Disagree","Neutral","Neutral"
T021,25/05/2024,"Strongly Disagree","Strongly Disagree","Strongly Disagree","Disagree","Disagree","Strongly Disagree","Neutral","Strongly Disagree","Disagree"
T021,26/05/2024,"Strongly Disagree","Neutral","Strongly Disagree","Neutral","Disagree","Agree","Strongly Disagree","Disagree","Strongly Disagree"
T021,26/05/2024,"Disagree","Neutral","Disagree","Disagree","Neutral","Disagree","Disagree","Strongly Disagree","Strongly Disagree"
T021,28/05/2024,"Agree","Strongly Disagree","Disagree","Disagree","Strongly Disagree","Strongly Disagree","Disagree","Strongly Disagree","Neutral"
T021,20/05/2024,"Strongly Disagree","Neutral","Strongly Disagree","Neutral","Neutral","Disagree","Disagree","Disagree","Disagree"
T021,23/05/2024,"Strongly Disagree","Disagree","Strongly Disagree","Neutral","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree"
T021,19/05/2024,"Neutral","Strongly Disagree","Strongly Disagree","Neutral","Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree"
T021,16/05/2024,"Strongly Disagree","Disagree","Disagree","Agree","Neutral","Neutral","Strongly Disagree","Neutral","Disagree"
T021,29/05/2024,"Strongly Disagree","Neutral","Neutral","Neutral","Disagree","Disagree","Disagree","Neutral","Strongly Disagree"
T021,21/05/2024,"Strongly Disagree","Strongly Disagree","Strongly Disagree","Neutral","Disagree","Neutral","Disagree","Agree","Agree"
T021,24/05/2024,"Neutral","Strongly Disagree","Disagree","Agree","Disagree","Strongly Disagree","Neutral","Disagree","Strongly Disagree"
T021,19/05/2024,"Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Disagree","Disagree","Strongly Disagree","Disagree","Strongly Disagree","Strongly Disagree"
T021,28/05/2024,"Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Disagree","Disagree","Strongly Disagree","Strongly Disagree","Neutral"
T021,28/05/2024,"Disagree","Strongly Agree","Disagree","Disagree","Neutral","Strongly Agree","Neutral","Strongly Disagree","Disagree"
T021,20/05/2024,"Strongly Disagree","Neutral","Neutral","Disagree","Strongly Disagree","Disagree","Strongly Disagree","Disagree","Strongly Disagree"
T021,19/05/2024,"Disagree","Neutral","Neutral","Strongly Agree","Disagree","Disagree","Disagree","Strongly Disagree","Strongly Disagree"
T021,20/05/2024,"Disagree","Neutral","Neutral","Neutral","Neutral","Strongly Disagree","Disagree","Strongly Disagree","Strongly Disagree"
T021,23/05/2024,"Disagree","Disagree","Disagree","Strongly Disagree","Strongly Disagree","Neutral","Disagree","Strongly Disagree","Disagree"
T021,19/05/2024,"Disagree","Neutral","Neutral","Disagree","Strongly Disagree","Strongly Agree","Neutral","Neutral","Disagree"
T021,24/05/2024,"Neutral","Neutral","Disagree","Neutral","Neutral","Strongly Disagree","Disagree","Strongly Disagree","Strongly Agree"
T021,24/05/2024,"Strongly Disagree","Strongly Disagree","Neutral","Disagree","Disagree","Disagree","Strongly Disagree","Disagree","Neutral"
T021,24/05/2024,"Disagree","Disagree","Disagree","Strongly Disagree","Neutral","Agree","Neutral","Disagree","Disagree"
T021,20/05/2024,"Disagree","Disagree","Neutral","Strongly Disagree","Disagree","Disagree","Strongly Disagree","Neutral","Neutral"
T021,22/05/2024,"Strongly Disagree","Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Disagree","Strongly Disagree"
T021,20/05/2024,"Strongly Disagree","Disagree","Disagree","Strongly Disagree","Agree","Strongly Disagree","Disagree","Strongly Disagree","Disagree"
T021,28/05/2024,"Disagree","Strongly Disagree","Disagree","Disagree","Neutral","Disagree","Disagree","Neutral","Disagree"
T021,26/05/2024,"Strongly Disagree","Neutral","Agree","Disagree","Neutral","Strongly Disagree","Neutral","Disagree","Disagree"
T021,17/05/2024,"Strongly Disagree","Neutral","Neutral","Strongly Disagree","Strongly Disagree","Disagree","Strongly Disagree","Strongly Disagree","Disagree"
T021,22/05/2024,"Agree","Disagree","Neutral","Agree","Disagree","Strongly Disagree","Strongly Disagree","Agree","Strongly Disagree"
T021,17/05/2024,"Strongly Disagree","Neutral","Disagree","Strongly Disagree","Neutral","Strongly Disagree","Disagree","Disagree","Disagree"
T021,29/05/2024,"Agree","Neutral","Strongly Disagree","Strongly Disagree","Disagree","Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree"
T021,24/05/2024,"Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Agree","Agree","Disagree","Disagree","Neutral"
T021,28/05/2024,"Strongly Disagree","Disagree","Disagree","Neutral","Disagree","Disagree","Strongly Disagree","Neutral","Disagree"
T021,25/05/2024,"Disagree","Neutral","Disagree","Strongly Disagree","Strongly Agree","Strongly Disagree","Disagree","Disagree","Disagree"
T021,24/05/2024,"Disagree","Strongly Disagree","Strongly Disagree","Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Disagree","Strongly Disagree"
T021,24/05/2024,"Agree","Neutral","Neutral","Disagree","Agree","Agree","Agree","Neutral","Strongly Disagree"
T021,22/05/2024,"Neutral","Strongly Disagree","Disagree","Disagree","Neutral","Neutral","Neutral","Neutral","Neutral"
T021,19/05/2024,"Disagree","Disagree","Neutral","Disagree","Strongly Disagree","Strongly Disagree","Disagree","Strongly Disagree","Strongly Disagree"
T021,22/05/2024,"Disagree","Strongly Disagree","Disagree","Neutral","Strongly Disagree","Disagree","Strongly Disagree","Disagree","Disagree"
T021,19/05/2024,"Agree","Strongly Disagree","Disagree","Neutral","Neutral","Neutral","Disagree","Strongly Disagree","Strongly Agree"
T021,27/05/2024,"Disagree","Neutral","Strongly Disagree","Disagree","Disagree","Neutral","Agree","Strongly Disagree","Disagree"
T021,20/05/2024,"Disagree","Strongly Disagree","Disagree","Agree","Disagree","Disagree","Disagree","Disagree","Neutral"
T021,27/05/2024,"Strongly Disagree","Disagree","Disagree","Neutral","Strongly Disagree","Disagree","Disagree","Disagree","Disagree"
T021,19/05/2024,"Strongly Disagree","Neutral","Disagree","Strongly Disagree","Disagree","Disagree","Strongly Agree","Strongly Disagree","Disagree"
T021,18/05/2024,"Neutral","Disagree","Strongly Disagree","Neutral","Neutral","Strongly Disagree","Strongly Disagree","Strongly Disagree","Neutral"
T021,18/05/2024,"Neutral","Disagree","Strongly Disagree","Disagree","Strongly Disagree","Disagree","Strongly Disagree","Agree","Disagree"
T021,25/05/2024,"Disagree","Strongly Disagree","Agree","Disagree","Agree","Disagree","Strongly Disagree","Neutral","Strongly Disagree"
T021,24/05/2024,"Disagree","Agree","Strongly Disagree","Strongly Disagree","Neutral","Strongly Disagree","Strongly Disagree","Agree","Disagree"
T021,19/05/2024,"Strongly Disagree","Neutral","Strongly Disagree","Disagree","Disagree","Strongly Disagree","Neutral","Strongly Disagree","Disagree"
T021,28/05/2024,"Disagree","Disagree","Strongly Disagree","Strongly Disagree","Neutral","Neutral","Strongly Disagree","Strongly Disagree","Strongly Disagree"
T021,21/05/2024,"Strongly Disagree","Disagree","Disagree","Strongly Disagree","Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Disagree"
T021,24/05/2024,"Disagree","Strongly Disagree","Agree","Disagree","Strongly Disagree","Disagree","Neutral","Strongly Disagree","Disagree"
T021,19/05/2024,"Strongly Disagree","Strongly Disagree","Agree","Strongly Disagree","Neutral","Neutral","Disagree","Strongly Disagree","Agree"
T021,17/05/2024,"Disagree","Disagree","Neutral","Disagree","Neutral","Disagree","Agree","Strongly Disagree","Strongly Disagree"
T021,21/05/2024,"Disagree","Neutral","Strongly Disagree","Neutral","Strongly Disagree","Disagree","Disagree","Strongly Disagree","Neutral"
T021,17/05/2024,"Strongly Disagree","Agree","Neutral","Strongly Disagree","Neutral","Strongly Disagree","Strongly Agree","Disagree","Strongly Disagree"
T021,28/05/2024,"Neutral","Neutral","Disagree","Strongly Disagree","Strongly Disagree","Disagree","Strongly Disagree","Strongly Disagree","Disagree"
T021,26/05/2024,"Disagree","Strongly Disagree","Disagree","Disagree","Strongly Disagree","Disagree","Disagree","Disagree","Agree"
T021,22/05/2024,"Strongly Disagree","Disagree","Disagree","Disagree","Neutral","Neutral","Neutral","Disagree","Strongly Disagree"
T021,22/05/2024,"Neutral","Disagree","Strongly Disagree","Neutral","Neutral","Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree"
T021,22/05/2024,"Disagree","Neutral","Disagree","Disagree","Agree","Disagree","Strongly Disagree","Neutral","Strongly Disagree"
T021,29/05/2024,"Neutral","Neutral","Disagree","Neutral","Strongly Disagree","Agree","Disagree","Disagree","Disagree"
T021,21/05/2024,"Agree","Strongly Disagree","Strongly Disagree","Disagree","Strongly Disagree","Disagree","Neutral","Neutral","Strongly Disagree"
T021,23/05/2024,"Strongly Disagree","Strongly Disagree","Disagree","Disagree","Disagree","Agree","Disagree","Disagree","Disagree"
T021,26/05/2024,"Neutral","Disagree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Disagree","Agree","Strongly Disagree","Agree"
T021,21/05/2024,"Strongly Disagree","Disagree","Strongly Disagree","Strongly Disagree","Agree","Strongly Disagree","Neutral","Disagree","Strongly Agree"
T021,21/05/2024,"Neutral","Disagree","Strongly Disagree","Neutral","Strongly Disagree","Neutral","Strongly Disagree","Disagree","Disagree"
T021,20/05/2024,"Neutral","Strongly Disagree","Agree","Disagree","Strongly Disagree","Disagree","Disagree","Disagree","Neutral"
T021,26/05/2024,"Disagree","Neutral","Disagree","Neutral","Neutral","Disagree","Neutral","Strongly Disagree","Disagree"
T021,24/05/2024,"Neutral","Disagree","Disagree","Disagree","Neutral","Neutral","Neutral","Disagree","Neutral"
T021,21/05/2024,"Strongly Disagree","Neutral","Strongly Disagree","Strongly Disagree","Strongly Disagree","Disagree","Strongly Agree","Strongly Agree","Disagree"
T021,22/05/2024,"Disagree","Strongly Disagree","Strongly Disagree","Disagree","Neutral","Disagree","Disagree","Neutral","Strongly Disagree"
T021,21/05/2024,"Neutral","Agree","Strongly Disagree","Agree","Neutral","Strongly Disagree","Neutral","Disagree","Strongly Disagree"
T021,29/05/2024,"Strongly Disagree","Disagree","Strongly Disagree","Agree","Neutral","Disagree","Agree","Strongly Disagree","Neutral"
T021,26/05/2024,"Strongly Disagree","Strongly Disagree","Agree","Disagree","Strongly Disagree","Disagree","Disagree","Agree","Agree"
T021,26/05/2024,"Disagree","Strongly Disagree","Strongly Disagree","Disagree","Strongly Disagree","Strongly Disagree","Disagree","Strongly Disagree","Disagree"
T021,16/05/2024,"Neutral","Neutral","Neutral","Neutral","Neutral","Disagree","Neutral","Strongly Disagree","Strongly Disagree"
T021,25/05/2024,"Neutral","Disagree","Strongly Disagree","Disagree","Disagree","Disagree","Agree","Neutral","Disagree"
T021,17/05/2024,"Strongly Disagree","Neutral","Strongly Disagree","Strongly Disagree","Strongly Disagree","Agree","Strongly Disagree","Disagree","Strongly Disagree"
T021,25/05/2024,"Disagree","Disagree","Neutral","Neutral","Strongly Disagree","Strongly Disagree","Strongly Disagree","Neutral","Agree"
T021,28/05/2024,"Disagree","Disagree","Strongly Disagree","Agree","Agree","Strongly Disagree","Agree","Disagree","Disagree"
T021,21/05/2024,"Strongly Disagree","Disagree","Strongly Agree","Disagree","Strongly Disagree","Agree","Neutral","Agree","Neutral"
T021,15/05/2024,"Disagree","Neutral","Neutral","Strongly Disagree","Strongly Disagree","Strongly Disagree","Neutral","Disagree","Strongly Disagree"
T021,25/05/2024,"Neutral","Agree","Disagree","Disagree","Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Neutral"
T021,24/05/2024,"Neutral","Disagree","Neutral","Neutral","Neutral","Agree","Strongly Disagree","Disagree","Disagree"
T021,27/05/2024,"Agree","Strongly Disagree","Strongly Disagree","Agree","Strongly Disagree","Neutral","Neutral","Strongly Disagree","Neutral"
T021,20/05/2024,"Neutral","Neutral","Strongly Disagree","Strongly Disagree","Disagree","Strongly Disagree","Strongly Disagree","Agree","Disagree"
T021,25/05/2024,"Disagree","Agree","Strongly Disagree","Neutral","Neutral","Disagree","Disagree","Strongly Disagree","Agree"
T021,19/05/2024,"Strongly Disagree","Agree","Neutral","Strongly Disagree","Strongly Disagree","Strongly Disagree","Disagree","Neutral","Agree"
T021,27/05/2024,"Neutral","Disagree","Neutral","Neutral","Neutral","Disagree","Disagree","Disagree","Disagree"
T021,27/05/2024,"Disagree","Disagree","Strongly Disagree","Disagree","Disagree","Strongly Disagree","Strongly Disagree","Neutral","Disagree"
T021,26/05/2024,"Strongly Disagree","Disagree","Disagree","Neutral","Strongly Disagree","Neutral","Neutral","Disagree","Disagree"
T021,23/05/2024,"Strongly Disagree","Disagree","Neutral","Disagree","Disagree","Neutral","Strongly Disagree","Disagree","Strongly Disagree"
T021,27/05/2024,"Neutral","Strongly Disagree","Disagree","Disagree","Strongly Disagree","Strongly Disagree","Neutral","Neutral","Disagree"
T021,27/05/2024,"Strongly Disagree","Neutral","Strongly Disagree","Strongly Disagree","Disagree","Disagree","Strongly Disagree","Strongly Disagree","Agree"
T021,18/05/2024,"Neutral","Strongly Disagree","Neutral","Disagree","Agree","Disagree","Agree","Disagree","Neutral"
T021,18/05/2024,"Agree","Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Neutral","Agree","Disagree"
T021,24/05/2024,"Strongly Disagree","Neutral","Strongly Disagree","Strongly Disagree","Strongly Disagree","Neutral","Neutral","Disagree","Strongly Disagree"
T021,26/05/2024,"Agree","Neutral","Neutral","Neutral","Disagree","Neutral","Disagree","Disagree","Neutral"
T021,22/05/2024,"Strongly Disagree","Neutral","Disagree","Disagree","Neutral","Disagree","Strongly Agree","Disagree","Strongly Disagree"
T021,27/05/2024,"Neutral","Strongly Disagree","Agree","Disagree","Strongly Agree","Agree","Disagree","Agree","Disagree"
T021,27/05/2024,"Disagree","Strongly Disagree","Strongly Agree","Neutral","Strongly Disagree","Strongly Disagree","Strongly Disagree","Agree","Neutral"
T021,23/05/2024,"Strongly Disagree","Strongly Disagree","Neutral","Disagree","Neutral","Strongly Agree","Strongly Disagree","Neutral","Disagree"
T021,18/05/2024,"Strongly Agree","Disagree","Neutral","Disagree","Strongly Disagree","Disagree","Disagree","Neutral","Agree"
T021,25/05/2024,"Disagree","Strongly Disagree","Neutral","Disagree","Disagree","Disagree","Disagree","Neutral","Disagree"
T021,27/05/2024,"Agree","Agree","Strongly Disagree","Agree","Disagree","Disagree","Disagree","Disagree","Strongly Disagree"
T021,22/05/2024,"Disagree","Disagree","Disagree","Strongly Disagree","Neutral","Disagree","Agree","Disagree","Neutral"
T021,23/05/2024,"Agree","Neutral","Strongly Disagree","Strongly Disagree","Neutral","Strongly Disagree","Neutral","Strongly Disagree","Neutral"
T021,19/05/2024,"Disagree","Strongly Disagree","Disagree","Disagree","Agree","Disagree","Disagree","Strongly Disagree","Neutral"
T021,24/05/2024,"Strongly Disagree","Agree","Neutral","Agree","Disagree","Neutral","Strongly Disagree","Disagree","Strongly Disagree"
T021,24/05/2024,"Neutral","Disagree","Strongly Disagree","Neutral","Agree","Agree","Disagree","Disagree","Strongly Agree"
T021,22/05/2024,"Disagree","Strongly Disagree","Agree","Disagree","Disagree","Disagree","Disagree","Strongly Disagree","Neutral"
T021,24/05/2024,"Strongly Disagree","Neutral","Neutral","Disagree","Agree","Disagree","Strongly Disagree","Disagree","Disagree"
T021,28/05/2024,"Strongly Disagree","Neutral","Disagree","Disagree","Agree","Disagree","Neutral","Strongly Disagree","Neutral"
T021,26/05/2024,"Neutral","Disagree","Neutral","Neutral","Disagree","Disagree","Strongly Disagree","Disagree","Agree"
T021,27/05/2024,"Strongly Disagree","Neutral","Disagree","Strongly Disagree","Disagree","Strongly Disagree","Disagree","Disagree","Disagree"
T021,23/05/2024,"Strongly Disagree","Agree","Disagree","Agree","Disagree","Disagree","Neutral","Strongly Disagree","Disagree"
T021,25/05/2024,"Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Disagree","Strongly Disagree","Neutral","Agree","Strongly Disagree"
T021,24/05/2024,"Strongly Disagree","Neutral","Strongly Disagree","Neutral","Agree","Disagree","Disagree","Agree","Strongly Disagree"
T021,23/05/2024,"Strongly Disagree","Disagree","Disagree","Strongly Disagree","Disagree","Strongly Agree","Disagree","Disagree","Disagree"
